CustomerID,Age,Gender,Annual_Income,Spending_Score,Purchase_Frequency,Total_Purchases
158,49,Female,93479,14,44,1835
159,56,Female,97735,9,24,9877
160,66,Male,101264,40,3,8358
161,69,Female,43275,66,20,8079
162,49,Male,92274,25,46,2528
163,21,Male,101449,73,15,7526
164,47,Male,120776,22,25,8633
165,54,Male,80004,4,30,5349
166,40,Female,82981,26,14,5391
167,56,Female,104659,58,7,2917
168,62,Male,74553,29,17,9524
169,32,Male,68447,98,44,3974
170,60,Male,54529,87,20,9786
171,46,Female,146394,37,36,4311
172,53,Male,95703,75,9,761
173,30,Male,96090,70,38,3474
174,49,Female,37260,18,48,9308
175,24,Female,132581,85,22,307
176,68,Male,23812,42,2,2765
177,39,Female,48024,41,24,2593
178,45,Female,78656,38,8,6913
179,19,Male,136148,34,11,732
180,59,Female,47285,17,13,3183
181,62,Male,112436,37,17,3819
182,23,Female,136421,25,8,7223
183,45,Male,21605,76,21,1779
184,45,Male,91158,87,18,336
185,61,Male,92303,86,30,7546
186,61,Female,47139,85,18,4543
187,37,Male,97149,27,46,6870
188,47,Female,76138,57,47,9832
189,28,Male,138205,31,31,6199
190,45,Male,96125,6,38,8655
191,42,Female,33918,91,32,2468
192,56,Male,105655,40,11,385
193,50,Male,47446,98,45,248
194,18,Female,144040,12,25,4137
195,44,Male,33046,53,33,6649
196,69,Male,149922,71,38,7221
197,30,Male,44818,10,41,4995
198,58,Male,120894,45,8,5380
199,20,Female,135751,17,11,1112
200,56,Female,24324,26,22,9815
201,23,Male,96323,85,24,2885
202,25,Female,29111,92,41,3825
203,44,Male,58110,62,17,4676
204,26,Female,36389,46,12,5882
205,54,Male,142177,64,46,6357
206,50,Male,61427,2,32,9893
207,68,Male,99579,54,15,2508
208,59,Male,48746,65,16,440
209,61,Male,142883,51,22,2917
210,41,Male,107886,53,28,2596
211,32,Female,127141,36,20,6062
212,49,Male,20117,26,33,5399
213,49,Female,145808,29,10,7674
214,41,Male,132221,21,40,1789
215,58,Female,104471,11,32,3367
216,69,Female,132613,40,33,4506
217,66,Female,33234,11,2,8553
218,66,Male,149597,36,33,1542
219,69,Male,123864,59,33,8697
220,29,Female,73441,39,41,4537
221,56,Male,20846,99,13,5535
222,19,Female,30954,54,30,8535
223,20,Male,99239,98,33,4207
224,66,Female,133689,55,13,660
225,54,Female,66514,24,26,8885
226,66,Male,108236,22,22,5648
227,34,Female,117579,69,39,1926
228,66,Male,148644,56,2,7729
229,19,Female,26469,33,38,8425
230,19,Female,50105,36,39,3238
231,45,Male,62101,20,26,7793
232,40,Male,84323,83,46,8364
233,54,Male,111922,99,15,7942
234,49,Female,78067,81,34,6821
235,50,Male,69376,62,42,7102
236,18,Female,65587,98,44,4325
237,36,Female,56976,73,49,3078
238,19,Male,124587,26,40,7473
239,61,Male,147534,66,11,6007
240,43,Female,87584,73,3,6197
241,49,Female,124537,73,6,5756
242,23,Male,98477,40,9,9084
243,49,Male,130911,17,6,4359
244,21,Male,62533,1,9,8386
245,28,Male,21828,89,39,6001
246,34,Male,21917,61,31,9425
247,55,Female,40618,43,32,5017
248,41,Female,52254,42,41,8529
249,22,Female,125292,25,12,2630
250,69,Female,136714,39,8,2060
251,51,Male,67362,35,8,7145
252,23,Male,40128,3,28,1148
253,39,Male,143781,44,20,5872
254,28,Female,131281,51,47,2629
255,65,Female,79383,94,7,3064
256,33,Male,85545,98,11,7237
257,50,Male,102180,12,20,1063
258,26,Female,107958,19,16,636
259,23,Female,29865,44,4,7440
260,33,Male,22219,59,6,7279
261,46,Male,59809,49,22,8067
262,20,Female,136748,61,26,8834
263,37,Male,25287,17,3,945
264,53,Male,146593,74,41,5877
265,36,Male,54387,57,42,3136
266,43,Female,28512,55,14,6047
267,20,Female,21342,47,11,2594
268,36,Female,83076,12,18,2819
269,37,Female,128872,62,12,1984
270,49,Female,39216,80,23,4449
271,24,Female,137512,88,12,5279
272,69,Female,136682,83,13,6710
273,58,Male,113070,8,25,6530
274,50,Male,99767,95,45,7254
275,57,Male,117829,21,19,6588
276,56,Male,46614,81,46,4837
277,35,Male,56258,87,36,6625
278,57,Male,113789,80,45,3950
279,18,Male,62078,70,8,789
280,28,Female,126288,72,29,5275
281,45,Female,103524,25,32,8748
282,42,Male,116573,82,44,5178
283,67,Male,32219,89,18,5548
284,40,Female,20235,12,6,1279
285,48,Male,62929,15,18,9174
286,47,Male,147309,59,19,6506
287,59,Female,87444,26,22,8691
288,52,Male,28567,26,37,7007
289,24,Female,121834,47,32,8900
290,33,Male,90792,32,41,1738
291,43,Female,85441,10,3,5771
292,65,Female,104555,16,28,7028
293,69,Female,93698,71,10,1482
294,66,Male,144450,17,35,1503
295,19,Female,137248,23,29,9111
296,18,Male,25415,26,15,3392
297,65,Male,56159,85,33,9111
298,29,Male,63925,86,7,519
299,22,Male,146523,7,12,4617
300,54,Female,25951,14,49,3402
301,49,Female,107388,79,30,7957
302,26,Male,28007,7,21,9800
303,58,Male,146730,9,31,7970
304,52,Female,61832,48,24,5793
305,36,Male,78596,72,20,867
306,65,Female,141101,59,37,2144
307,33,Male,50523,87,4,1649
308,20,Male,108861,93,28,6240
309,37,Female,144194,82,44,3816
310,41,Male,106740,95,20,4581
311,50,Female,35524,94,24,7998
312,41,Male,149028,39,49,6648
313,69,Male,39282,99,32,2393
314,28,Male,43930,18,41,4937
315,66,Female,20077,59,36,7858
316,25,Male,125881,17,34,6893
317,53,Male,145501,14,36,7738
318,55,Male,40611,31,2,8093
319,57,Male,36984,24,15,6107
320,37,Female,34060,99,34,5642
321,52,Female,102985,60,36,9192
322,65,Male,104056,45,6,6456
323,42,Female,145329,98,39,8533
324,52,Male,63303,3,42,7480
325,42,Male,79207,37,12,2485
326,46,Male,95046,43,3,4368
327,35,Female,49287,40,45,771
328,63,Female,113709,90,18,263
329,35,Female,59711,55,40,8756
330,19,Female,31954,87,21,4692
331,52,Female,93340,39,15,4895
332,33,Female,92101,15,33,4898
333,58,Female,91520,4,35,6136
334,53,Female,107062,93,26,2455
335,50,Female,122974,86,8,5987
336,21,Male,38574,25,36,8061
337,50,Female,29184,13,48,5927
338,31,Female,39096,82,30,8837
339,38,Female,87728,33,23,4819
340,65,Female,54016,16,42,693
341,37,Female,31246,42,44,4939
342,25,Female,65558,66,14,7494
343,24,Female,138721,55,14,9751
344,20,Female,38381,99,2,3593
345,34,Female,147796,42,37,6264
346,50,Female,56455,34,5,2772
347,65,Female,112263,30,38,4300
348,29,Male,24018,13,45,116
349,68,Male,31302,13,41,3291
350,39,Female,87506,18,47,492
351,39,Female,61157,32,14,8716
352,63,Male,74917,96,39,6372
353,47,Female,112738,99,25,671
354,55,Male,116646,39,20,3731
355,55,Male,103122,46,2,6272
356,62,Male,44519,29,39,9412
357,68,Male,116809,62,6,7277
358,25,Male,107487,93,17,8533
359,44,Female,76819,62,25,3997
360,44,Male,100910,57,28,8223
361,51,Female,140430,16,2,2379
362,38,Female,91324,56,35,9080
363,47,Male,25408,10,37,7551
364,50,Male,79379,30,5,9006
365,45,Female,45053,25,1,875
366,64,Male,29446,84,40,6969
367,50,Male,20922,5,12,2347
368,22,Female,118723,65,36,7188
369,65,Female,71356,94,45,178
370,36,Male,30789,49,23,8180
371,21,Female,117720,3,47,7199
372,52,Male,86656,45,31,4026
373,66,Male,64028,14,11,9147
374,34,Male,84484,30,10,7440
375,61,Female,52154,68,3,7183
376,45,Female,102870,18,14,6330
377,47,Female,22336,62,16,9323
378,46,Female,123677,37,10,5040
379,63,Female,87779,25,29,3371
380,23,Male,39029,48,10,3556
381,52,Male,79201,65,12,7888
382,58,Male,52265,53,30,8699
383,54,Male,122916,79,41,7750
384,41,Female,132250,73,1,2811
385,46,Male,136553,15,5,1768
386,66,Female,63872,49,20,247
387,63,Male,66197,88,8,6520
388,48,Female,145733,68,43,465
389,52,Female,75180,12,12,9966
390,50,Male,43710,59,1,4631
391,69,Male,49486,37,20,5430
392,38,Male,91907,61,28,5610
393,49,Male,148876,43,43,8854
394,40,Female,91895,70,37,9064
395,50,Male,84435,39,47,6593
396,20,Male,60631,56,37,5539
397,35,Female,149038,63,12,9865
398,42,Male,121532,46,37,6611
399,59,Male,40103,88,49,7604
400,48,Male,84772,11,49,1346
401,20,Male,146108,62,44,3939
402,57,Male,34382,77,28,8651
403,63,Female,104291,98,47,2476
404,41,Male,121195,25,15,3109
405,67,Male,23756,71,6,9254
406,49,Male,40609,52,44,1927
407,64,Male,134074,4,20,7079
408,39,Male,36478,59,14,9905
409,40,Female,120978,72,2,9932
410,19,Male,59666,20,9,8669
411,44,Female,95683,93,37,4385
412,59,Female,119097,63,20,7010
413,19,Male,144714,54,26,8661
414,43,Male,120420,74,29,2296
415,34,Male,91315,98,1,3847
416,57,Male,97834,57,35,8943
417,50,Female,146205,90,6,6078
418,26,Male,34153,41,37,5707
419,60,Male,129415,3,5,869
420,65,Male,96325,6,33,880
421,56,Male,129701,5,49,6403
422,46,Male,32999,5,14,4083
423,59,Male,75318,54,12,9603
424,43,Female,20814,47,42,8814
425,52,Female,135033,87,20,621
426,67,Male,96077,49,24,9227
427,42,Male,110474,9,43,7669
428,41,Male,22443,99,34,5884
429,30,Female,95993,20,25,4683
430,24,Male,95916,61,29,6046
431,53,Female,93319,35,39,5041
432,62,Male,145885,50,31,6367
433,37,Male,129777,82,47,7228
434,18,Male,37368,62,43,2561
435,25,Male,35328,17,23,785
436,63,Female,76942,88,44,2260
437,33,Female,111751,3,38,7131
438,31,Male,119131,32,20,9859
439,29,Male,47306,99,23,5441
440,68,Female,105451,13,45,138
441,40,Female,59915,89,16,4975
442,32,Female,57219,73,42,1356
443,45,Female,100879,68,8,7797
444,51,Male,131939,14,21,2296
445,19,Female,84644,98,1,7265
446,49,Male,80279,11,8,401
447,40,Female,73028,56,29,7627
448,39,Female,124263,67,32,6481
449,68,Female,20126,92,38,746
450,42,Female,72329,29,5,8889
451,39,Female,47632,9,47,8953
452,39,Male,127099,67,22,4430
453,66,Male,85310,25,47,9660
454,69,Female,129945,98,34,7103
455,59,Female,75176,76,1,3637
456,23,Male,139797,42,26,4658
457,32,Female,106066,9,43,6679
458,60,Female,125500,79,10,8574
459,54,Male,146413,40,30,9778
460,50,Female,64327,25,18,4182
461,25,Female,88904,5,17,4283
462,61,Male,23797,11,26,8752
463,61,Male,67882,59,8,3854
464,22,Male,33718,98,47,1824
465,56,Female,54560,88,40,1476
466,21,Male,96589,79,49,8806
467,23,Male,42116,38,12,8994
468,62,Male,56244,72,27,1753
469,49,Male,121721,5,8,2166
470,69,Male,21645,48,25,122
471,47,Male,67523,90,46,2560
472,64,Female,144085,18,4,6026
473,52,Female,137718,70,33,6351
474,57,Male,39256,37,1,9596
475,69,Male,121376,60,19,7395
476,33,Male,120158,48,31,3400
477,30,Female,73173,77,16,6379
478,67,Female,57430,28,14,8653
479,59,Female,59282,69,48,7453
480,47,Female,139719,77,5,3827
481,36,Female,83374,81,41,6372
482,34,Female,88244,40,26,6095
483,36,Female,31694,45,28,9576
484,45,Female,76264,96,2,614
485,43,Female,95060,62,6,548
486,54,Male,117416,93,9,6119
487,43,Male,77545,58,33,5443
488,40,Male,138195,67,41,8133
489,26,Male,59224,56,25,2620
490,29,Female,122516,40,48,3181
491,18,Female,117945,98,13,1528
492,18,Male,33224,40,9,4067
493,64,Female,60738,91,13,6545
494,51,Male,45150,77,31,9214
495,49,Female,83731,33,41,2259
496,65,Male,69688,6,11,5232
497,42,Female,119929,88,4,2647
498,57,Female,128618,19,34,3079
499,62,Male,93509,80,38,2749
500,18,Female,28577,40,46,8605
